,locality,type of property,subtype of property,price,number_rooms,living_area,kitchen,furnished,fireplace,terrace,terrace_area,garden,garden_area,surface_land,number_facades,swimming_pool,building_state
174,Oostende,APARTMENT,APARTMENT,259900.0,2.0,,HYPER_EQUIPPED,,,True,,,,UNKNOWN,,,GOOD
175,Sint-Amandsberg,HOUSE,HOUSE,287500.0,3.0,125.0,0,,,True,,,,169,,False,TO_RENOVATE
176,Bredene,APARTMENT,GROUND_FLOOR,275000.0,2.0,139.0,0,,,,,True,8.0,UNKNOWN,,,GOOD
177,Gent,APARTMENT,APARTMENT,425000.0,3.0,146.0,USA_INSTALLED,False,,True,,,,UNKNOWN,,False,AS_NEW
178,Wommelgem,HOUSE,HOUSE,349000.0,3.0,193.0,INSTALLED,,,,,True,,403,,False,TO_RENOVATE
179,Wijchmaal,HOUSE,HOUSE,299000.0,4.0,193.0,INSTALLED,False,,,,True,,827,4,False,TO_BE_DONE_UP
180,Libramont-Chevigny,HOUSE,VILLA,329000.0,5.0,140.0,SEMI_EQUIPPED,False,,True,800.0,True,200.0,1011,4,False,TO_RENOVATE
181,Balen,HOUSE_GROUP,HOUSE_GROUP,,,,0,False,,,,,,UNKNOWN,UNKNOWN,,UNKNOWN
182,HERSELT,HOUSE_GROUP,HOUSE_GROUP,,,,0,,,,,,,UNKNOWN,UNKNOWN,,UNKNOWN
183,WITGOOR,HOUSE_GROUP,HOUSE_GROUP,,,,0,,,,,,,UNKNOWN,UNKNOWN,,UNKNOWN
184,Romsée,HOUSE_GROUP,HOUSE_GROUP,,,,0,,,,,,,UNKNOWN,UNKNOWN,,UNKNOWN
185,Andenne,HOUSE,HOUSE,335000.0,4.0,209.0,INSTALLED,,-1.0,True,,True,,2185,4,,GOOD
186,Andenne,HOUSE,HOUSE,335000.0,4.0,209.0,INSTALLED,,-1.0,True,,True,,2185,4,,GOOD
187,Gent,HOUSE,HOUSE,335000.0,3.0,154.0,USA_SEMI_EQUIPPED,False,,,,True,8.0,55,2,False,TO_BE_DONE_UP
188,Glabbeek,HOUSE,HOUSE,339000.0,4.0,130.0,INSTALLED,False,,True,25.0,True,2500.0,3250,4,False,TO_RENOVATE
189,Habay-la-Neuve,HOUSE_GROUP,HOUSE_GROUP,,,,0,,,,,,,UNKNOWN,UNKNOWN,,UNKNOWN
190,Torhout,HOUSE_GROUP,HOUSE_GROUP,,,,0,,,,,,,UNKNOWN,UNKNOWN,,UNKNOWN
191,Corswarem,HOUSE_GROUP,HOUSE_GROUP,,,,0,,,,,,,UNKNOWN,UNKNOWN,,UNKNOWN
192,Aubange,HOUSE_GROUP,HOUSE_GROUP,,,,0,,,,,,,UNKNOWN,UNKNOWN,,UNKNOWN
193,Tienen,HOUSE,MANSION,345000.0,4.0,190.0,INSTALLED,,,,,True,88.0,156,2,False,AS_NEW
194,Braine-le-Comte,HOUSE_GROUP,HOUSE_GROUP,,,,0,,,,,,,UNKNOWN,UNKNOWN,,UNKNOWN
195,Leuven,HOUSE,HOUSE,348000.0,3.0,116.0,HYPER_EQUIPPED,False,,True,6.0,,,55,2,False,GOOD
196,Galmaarden,HOUSE,HOUSE,349000.0,3.0,160.0,SEMI_EQUIPPED,,-1.0,,,,,1330,3,,TO_BE_DONE_UP
197,Liedekerke,HOUSE,HOUSE,349000.0,3.0,180.0,HYPER_EQUIPPED,False,,True,25.0,True,150.0,256,2,,AS_NEW
198,Wezembeek-Oppem,HOUSE,HOUSE,349000.0,3.0,80.0,INSTALLED,False,,True,14.0,True,60.0,170,3,False,TO_BE_DONE_UP
199,Wezembeek-Oppem,HOUSE,HOUSE,349000.0,3.0,80.0,INSTALLED,False,,True,28.0,True,60.0,170,3,False,TO_BE_DONE_UP
200,Antwerp,HOUSE,MIXED_USE_BUILDING,349000.0,3.0,181.0,INSTALLED,,-1.0,True,9.0,True,23.0,122,2,,GOOD
